type_habits,price,adress,url_image,type_chaussure,type_chaussures,url_image_pure,web_scraper_start_url,categorie_exacte,prix_num
,10 000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/2797680_uploaded_image1_1606753722.jpg,,Chaussures enfant,https://images.coinafrique.com/2797680_uploaded_image1_1606753722.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,10000.0
,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/2798841_uploaded_image1_1606808767.jpg,,Chaussures garçon,https://images.coinafrique.com/2798841_uploaded_image1_1606808767.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,
,Prix sur demande,"Fass, Dakar, Sénégal",https://images.coinafrique.com/2818578_uploaded_image1_1607458128.jpg,,Baskets Puma - Adidas,https://images.coinafrique.com/2818578_uploaded_image1_1607458128.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,
,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/2822660_uploaded_image1_1607610140.jpg,,Chaussure enfants,https://images.coinafrique.com/2822660_uploaded_image1_1607610140.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,
,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/2830947_uploaded_image1_1607971324.jpg,,Chaussures pour enfants,https://images.coinafrique.com/2830947_uploaded_image1_1607971324.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,
,10 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/2831294_uploaded_image1_1607984493.jpg,,Chaussures garçons,https://images.coinafrique.com/2831294_uploaded_image1_1607984493.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,10000.0
,10 000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/2837971_uploaded_image1_1608232681.jpg,,Baskets Nike pour enfants,https://images.coinafrique.com/2837971_uploaded_image1_1608232681.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,10000.0
,2 500,"HLM, Dakar, Sénégal",https://images.coinafrique.com/2847269_uploaded_image1_1608653733.jpg,,Chaussures enfant,https://images.coinafrique.com/2847269_uploaded_image1_1608653733.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,2500.0
,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/2862808_uploaded_image1_1609520465.jpg,,Chaussures enfants,https://images.coinafrique.com/2862808_uploaded_image1_1609520465.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,
,1 000,"Dakar, Sénégal",https://images.coinafrique.com/2905159_uploaded_image1_1611266722.jpg,,Baskets fille,https://images.coinafrique.com/2905159_uploaded_image1_1611266722.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,1000.0
,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/2924609_uploaded_image1_1612202719.jpg,,Chaussures pour enfant,https://images.coinafrique.com/2924609_uploaded_image1_1612202719.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,
,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/2924613_uploaded_image1_1612202808.jpg,,Baskets Nike,https://images.coinafrique.com/2924613_uploaded_image1_1612202808.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,
,20 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/2934921_uploaded_image1_1612567043.jpg,,Chaussures Jordan 11,https://images.coinafrique.com/2934921_uploaded_image1_1612567043.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,20000.0
,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/2942148_uploaded_image1_1612894020.jpg,,Chaussures nourrissons,https://images.coinafrique.com/2942148_uploaded_image1_1612894020.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,
,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/2942161_uploaded_image1_1612894618.jpg,,Chaussures  enfants,https://images.coinafrique.com/2942161_uploaded_image1_1612894618.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,
,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/2942163_uploaded_image1_1612894677.jpg,,Chaussures  enfants,https://images.coinafrique.com/2942163_uploaded_image1_1612894677.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,
,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/2942252_uploaded_image1_1612898624.jpg,,Bottes montantes enfants,https://images.coinafrique.com/2942252_uploaded_image1_1612898624.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=5,chaussures-enfants,
,3 000,"Dakar, Sénégal",https://images.coinafrique.com/2956562_uploaded_image1_1613573380.jpg,,Chaussures enfants,https://images.coinafrique.com/2956562_uploaded_image1_1613573380.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=4,chaussures-enfants,3000.0
,6 000,"Dakar, Sénégal",https://images.coinafrique.com/2972548_uploaded_image1_1614340301.jpg,,Claquettes enfant,https://images.coinafrique.com/2972548_uploaded_image1_1614340301.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=4,chaussures-enfants,6000.0
,6 000,"Dakar, Sénégal",,,Chaussures enfant,,https://sn.coinafrique.com/categorie/chaussures-enfants?page=4,chaussures-enfants,6000.0
,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/2972750_uploaded_image1_1614348026.jpg,,Chaussure enfant,https://images.coinafrique.com/2972750_uploaded_image1_1614348026.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=4,chaussures-enfants,
,8 000,"Dakar, Sénégal",https://images.coinafrique.com/2998854_uploaded_image1_1615573131.jpg,,Mocassin enfants,https://images.coinafrique.com/2998854_uploaded_image1_1615573131.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=4,chaussures-enfants,8000.0
,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/3000024_uploaded_image1_1615644889.jpg,,Chaussures enfant,https://images.coinafrique.com/3000024_uploaded_image1_1615644889.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=4,chaussures-enfants,
,8 500,"Dakar, Sénégal",https://images.coinafrique.com/3004980_uploaded_image1_1615909281.jpg,,Chaussures enfant,https://images.coinafrique.com/3004980_uploaded_image1_1615909281.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=4,chaussures-enfants,8500.0
,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/3006541_uploaded_image1_1615983073.jpg,,Chaussures enfant,https://images.coinafrique.com/3006541_uploaded_image1_1615983073.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=4,chaussures-enfants,
,Prix sur demande,"Medina, Dakar, Sénégal",https://images.coinafrique.com/3007072_uploaded_image1_1615998986.jpg,,Chaussures enfant,https://images.coinafrique.com/3007072_uploaded_image1_1615998986.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=4,chaussures-enfants,
,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/3010551_uploaded_image1_1616171723.jpg,,Chaussures enfant,https://images.coinafrique.com/3010551_uploaded_image1_1616171723.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=4,chaussures-enfants,
,5 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3012388_uploaded_image1_1616265482.jpg,,Chaussures enfant friperie,https://images.coinafrique.com/3012388_uploaded_image1_1616265482.jpg,https://sn.coinafrique.com/categorie/chaussures-enfants?page=4,chaussures-enfants,5000.0
