type_chaussure,price,adress,url_image
Tapettes homme,15 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5618783_uploaded_image1_1762964858.jpg
Babouches  homme,10 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/5619673_uploaded_image1_1763023060.jpg
Chaussures homme,20 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5621182_uploaded_image1_1763077582.jpg
Chaussures Hugo Boss,25 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5622144_uploaded_image1_1763141369.jpg
Chaussures  homme,12 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/5623102_uploaded_image1_1763203756.jpg
Chaussures en cuir pour homme,10 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5624803_uploaded_image1_1763314804.jpg
Chaussures  homme,15 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/5625915_uploaded_image1_1763379573.jpg
Sandales homme,8 000,"Dakar, Sénégal",https://images.coinafrique.com/5627951_uploaded_image1_1763472221.jpg
Chaussures en daim Zara,25 000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/5630025_uploaded_image1_1763560555.jpg
Baskets Asics,12 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/5630752_uploaded_image1_1763589625.jpg
Chaussures homme,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/5637204_uploaded_image1_1763926350.jpg
Chaussures  homme,25 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5640219_uploaded_image1_1764075154.jpg
Chaussures  homme,15 000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/5640258_uploaded_image1_1764076664.jpg
Chaussures  homme,15 000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/5640260_uploaded_image1_1764076783.jpg
Chaussures  homme,12 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/5640318_uploaded_image1_1764078147.jpg
