type_chaussures,price,adress,url_image
Chaussures bébé,4 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/3024586_uploaded_image1_1616871119.jpg
Ensemble enfant,12 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/3032235_uploaded_image1_1617269518.jpg
Baskets Nike enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3036155_uploaded_image1_1617387184.jpg
Baskets Nike Air Force enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3036156_uploaded_image1_1617387240.jpg
Baskets Jordan enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3036158_uploaded_image1_1617387289.jpg
Baskets Adidas Yeezy,10 000,"Dakar, Sénégal",https://images.coinafrique.com/3039797_uploaded_image1_1617561525.jpg
Chaussures enfant,10 000,"Dakar, Sénégal",https://images.coinafrique.com/3039890_uploaded_image1_1617564616.jpg
Mocassins enfant,10 000,"Dakar, Sénégal",https://images.coinafrique.com/3039894_uploaded_image1_1617564682.jpg
Chaussures fillette,10 000,"Dakar, Sénégal",https://images.coinafrique.com/3039898_uploaded_image1_1617564756.jpg
Chaussures enfants,10 000,"Dakar, Sénégal",https://images.coinafrique.com/3040948_uploaded_image1_1617626252.jpg
Chaussures Enfants,10 000,"Dakar, Sénégal",https://images.coinafrique.com/3040951_uploaded_image1_1617626335.jpg
Chaussures bébé,10 000,"Dakar, Sénégal",https://images.coinafrique.com/3047895_uploaded_image1_1617900785.jpg
Chaussures enfant,10 000,"Dakar, Sénégal",https://images.coinafrique.com/3047901_uploaded_image1_1617900953.jpg
Chaussures enfant,10 000,"Ziguinchor, Sénégal",https://images.coinafrique.com/3047906_uploaded_image1_1617901111.jpg
Baskets Adidas Stan Smith pour bébé,8 000,"Dakar, Sénégal",https://images.coinafrique.com/3048378_uploaded_image1_1617915277.jpg
Chaussures enfants,10 000,"Dakar, Sénégal",https://images.coinafrique.com/3052212_uploaded_image1_1618089468.jpg
Chaussures enfants,Prix sur demande,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/3060194_uploaded_image1_1618441376.jpg
Chaussures enfants,Prix sur demande,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/3071128_uploaded_image1_1618963694.jpg
Chaussures enfant,5 000,"Dakar, Sénégal",https://images.coinafrique.com/3071648_uploaded_image1_1619000211.jpg
Chaussures enfant,15 000,"Dakar, Sénégal",https://images.coinafrique.com/3075527_uploaded_image1_1619145411.jpg
Chaussures enfants,10 000,"Dakar, Sénégal",https://images.coinafrique.com/3077278_uploaded_image1_1619226701.jpg
Chaussures enfant,Prix sur demande,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/3083915_uploaded_image1_1619572325.jpg
Chaussures  fille,5 500,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3084737_uploaded_image1_1619615814.jpg
Baskets Jordan enfant,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3085703_uploaded_image1_1619658542.jpg
Chaussures filles,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3085706_uploaded_image1_1619658731.jpg
Chaussures enfant,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3085707_uploaded_image1_1619658806.jpg
Chaussures petite fille,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/3088807_uploaded_image1_1619817848.jpg
Chaussures enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/3088810_uploaded_image1_1619817941.jpg
Chaussures enfant,15 000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/3093302_uploaded_image1_1620011941.jpg
Chaussures à talon enfants,10 000,"Dakar, Sénégal",https://images.coinafrique.com/3095584_uploaded_image1_1620089749.jpg
Chaussures fille,Prix sur demande,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/3099833_uploaded_image1_1620253098.jpg
Chaussures enfant,50 000,"Fann-Point E-Amitié, Dakar, Sénégal",https://images.coinafrique.com/3100228_uploaded_image1_1620285689.jpg
Chaussures enfants,10 000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/3102122_uploaded_image1_1620341974.jpg
Chaussures enfant,6 000,"Rufisque, Sénégal",https://images.coinafrique.com/3102417_uploaded_image1_1620371690.jpg
Chaussures enfants,6 000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/3102419_uploaded_image1_1620371811.jpg
Chaussures enfant,3 500,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/3102429_uploaded_image1_1620372293.jpg
Chaussures enfants,6 000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/3102432_uploaded_image1_1620372465.jpg
Chaussures enfants,6 000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/3102441_uploaded_image1_1620372742.jpg
Chaussures enfants,2 500,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/3105886_uploaded_image1_1620525968.jpg
Chaussures crops bébé,5 000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/3106484_uploaded_image1_1620567535.jpg
Chaussures enfant,8 500,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/3124327_uploaded_image1_1621494874.jpg
Chaussures orthopédiques enfants,12 000,"Rufisque, Sénégal",https://images.coinafrique.com/3128593_uploaded_image1_1621701550.jpg
Chaussures bébé,6 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/3136795_uploaded_image1_1622129786.jpg
Chaussures enfant,5 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/3138741_uploaded_image1_1622222899.jpg
