type_habits,price,adress,url_image
Pack de 3 t-shirts en coton + 3 débardeurs +3 boxeurs,10 500,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/5390305_uploaded_image1_1750787966.jpg
Costume africaine,20 000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/5392630_uploaded_image1_1750903817.jpg
Costume africaine,20 000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/5392631_uploaded_image1_1750903932.jpg
Costume africaine,20 000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/5392632_uploaded_image1_1750903985.jpg
Costume africaine,20 000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/5392633_uploaded_image1_1750904042.jpg
Vêtement homme,Prix sur demande,"Fass, Dakar, Sénégal",https://images.coinafrique.com/5394599_uploaded_image2_1751021076.jpeg
Bas Nike Tech,10 000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/5396366_uploaded_image1_1751130805.jpg
T-shirts,5 000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/5396595_uploaded_image1_1751139172.jpg
Pantalons hommes,7 000,"Dakar, Sénégal",https://images.coinafrique.com/5359190_uploaded_image1_1748985019.jpg
Polo,8 000,"Dakar, Sénégal",https://images.coinafrique.com/5359195_uploaded_image1_1748985264.jpg
Cargo homme,7 000,"Dakar, Sénégal",https://images.coinafrique.com/5359212_uploaded_image1_1748985772.jpg
Bas large,7 000,"Dakar, Sénégal",https://images.coinafrique.com/5359319_uploaded_image1_1748991293.jpg
Lacoste homme,6 000,"Dakar, Sénégal",https://images.coinafrique.com/5376209_uploaded_image1_1750033001.jpg
T-shirt coton,6 000,"Dakar, Sénégal",https://images.coinafrique.com/5376211_uploaded_image1_1750033082.jpg
T-shirt unique,3 000,"Dakar, Sénégal",https://images.coinafrique.com/5381842_uploaded_image1_1750327249.jpg
Ensemble short,9 000,"Dakar, Sénégal",https://images.coinafrique.com/5359855_uploaded_image1_1749031695.jpg
Jeans homme,7 000,"Dakar, Sénégal",https://images.coinafrique.com/5360049_uploaded_image1_1749038004.jpg
Dialabeh homme,9 000,"Dakar, Sénégal",https://images.coinafrique.com/5377282_uploaded_image1_1750088802.jpg
T-shirt,3 000,"Dakar, Sénégal",https://images.coinafrique.com/5368256_uploaded_image1_1749572783.jpg
Short,3 500,"Dakar, Sénégal",https://images.coinafrique.com/5386893_uploaded_image1_1750612508.jpg
Jeans homme,7 000,"Dakar, Sénégal",https://images.coinafrique.com/5386899_uploaded_image1_1750612630.jpg
T-shirts,6 000,"Dakar, Sénégal",https://images.coinafrique.com/5360742_uploaded_image1_1749062707.jpg
Short en jeans,6 000,"Dakar, Sénégal",https://images.coinafrique.com/5387071_uploaded_image1_1750620076.jpg
Polo en coton,8 000,"Dakar, Sénégal",https://images.coinafrique.com/5361125_uploaded_image1_1749079937.jpg
Pantalon kaki,8 000,"Dakar, Sénégal",https://images.coinafrique.com/5379655_uploaded_image1_1750203441.jpg
Lacoste homme,7 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5422133_uploaded_image2_1752479744.jpeg
Pantalon jean,8 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5422157_uploaded_image1_1752480645.jpg
Pantalon Kaki,8 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5422160_uploaded_image1_1752480748.jpg
Sous-vêtements homme,4 000,"Medina, Dakar, Sénégal",https://images.coinafrique.com/5422821_uploaded_image1_1752506033.jpg
Chemise pour homme,12 500,"Fass, Dakar, Sénégal",https://images.coinafrique.com/5389835_uploaded_image1_1750768990.jpg
Ensemble homme,13 000,"Dakar, Sénégal",https://images.coinafrique.com/5435162_uploaded_image1_1753183547.jpg
Polo,6 500,"Dakar, Sénégal",https://images.coinafrique.com/5435168_uploaded_image1_1753183652.jpg
Polo,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/5435176_uploaded_image3_1753183801.jpeg
Pantalon Kaki,5 000,"Keur Massar, Sénégal",https://images.coinafrique.com/5438593_uploaded_image1_1753346732.jpg
Pantalon kakis et chemise,15 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/5438939_uploaded_image1_1753357818.jpg
Tee-shirts,15 000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/5439394_uploaded_image1_1753370451.jpg
